Valuador,Muestra,NombreProducto,CodigoProducto,CodigoMuestra
V1,3,598-M7_R1,420,M9
V1,6,598-ME_R2,266,M222
V1,4,598-ME_R1,510,M585
V1,1,598-M7_R2,360,M945
V1,2,598-M14_R1,827,M594
V1,5,598-M14_R2,489,M850
V2,6,598-ME_R2,266,M917
V2,1,598-M7_R2,360,M551
V2,3,598-M7_R1,420,M261
V2,5,598-M14_R2,489,M44
V2,4,598-ME_R1,510,M953
V2,2,598-M14_R1,827,M466
V3,1,598-M7_R2,360,M473
V3,5,598-M14_R2,489,M366
V3,6,598-ME_R2,266,M728
V3,2,598-M14_R1,827,M339
V3,3,598-M7_R1,420,M432
V3,4,598-ME_R1,510,M400
V4,5,598-M14_R2,489,M396
V4,2,598-M14_R1,827,M606
V4,1,598-M7_R2,360,M235
V4,4,598-ME_R1,510,M197
V4,6,598-ME_R2,266,M364
V4,3,598-M7_R1,420,M335
V5,2,598-M14_R1,827,M75
V5,4,598-ME_R1,510,M292
V5,5,598-M14_R2,489,M743
V5,3,598-M7_R1,420,M449
V5,1,598-M7_R2,360,M187
V5,6,598-ME_R2,266,M114
V6,4,598-ME_R1,510,M171
V6,3,598-M7_R1,420,M155
V6,2,598-M14_R1,827,M750
V6,6,598-ME_R2,266,M409
V6,5,598-M14_R2,489,M548
V6,1,598-M7_R2,360,M840
V7,3,598-M7_R1,420,M90
V7,2,598-M14_R1,827,M376
V7,5,598-M14_R2,489,M949
V7,6,598-ME_R2,266,M527
V7,1,598-M7_R2,360,M148
V7,4,598-ME_R1,510,M220
V8,2,598-M14_R1,827,M177
V8,6,598-ME_R2,266,M112
V8,3,598-M7_R1,420,M689
V8,4,598-ME_R1,510,M569
V8,5,598-M14_R2,489,M110
V8,1,598-M7_R2,360,M979
V9,6,598-ME_R2,266,M871
V9,4,598-ME_R1,510,M195
V9,2,598-M14_R1,827,M862
V9,1,598-M7_R2,360,M587
V9,3,598-M7_R1,420,M286
V9,5,598-M14_R2,489,M276
V10,4,598-ME_R1,510,M62
V10,1,598-M7_R2,360,M476
V10,6,598-ME_R2,266,M735
V10,5,598-M14_R2,489,M116
V10,2,598-M14_R1,827,M767
V10,3,598-M7_R1,420,M969
V11,1,598-M7_R2,360,M720
V11,5,598-M14_R2,489,M39
V11,4,598-ME_R1,510,M250
V11,3,598-M7_R1,420,M224
V11,6,598-ME_R2,266,M695
V11,2,598-M14_R1,827,M421
V12,5,598-M14_R2,489,M853
V12,3,598-M7_R1,420,M747
V12,1,598-M7_R2,360,M521
V12,2,598-M14_R1,827,M523
V12,4,598-ME_R1,510,M196
V12,6,598-ME_R2,266,M457
V13,2,598-M14_R1,827,M231
V13,4,598-ME_R1,510,M919
V13,6,598-ME_R2,266,M848
V13,5,598-M14_R2,489,M402
V13,3,598-M7_R1,420,M490
V13,1,598-M7_R2,360,M218
V14,4,598-ME_R1,510,M843
V14,5,598-M14_R2,489,M25
V14,2,598-M14_R1,827,M350
V14,1,598-M7_R2,360,M91
V14,6,598-ME_R2,266,M117
V14,3,598-M7_R1,420,M619
V15,5,598-M14_R2,489,M184
V15,1,598-M7_R2,360,M657
V15,4,598-ME_R1,510,M53
V15,3,598-M7_R1,420,M986
V15,2,598-M14_R1,827,M239
V15,6,598-ME_R2,266,M618
V16,1,598-M7_R2,360,M693
V16,3,598-M7_R1,420,M581
V16,5,598-M14_R2,489,M121
V16,6,598-ME_R2,266,M228
V16,4,598-ME_R1,510,M593
V16,2,598-M14_R1,827,M446
V17,3,598-M7_R1,420,M236
V17,6,598-ME_R2,266,M700
V17,1,598-M7_R2,360,M358
V17,2,598-M14_R1,827,M477
V17,5,598-M14_R2,489,M95
V17,4,598-ME_R1,510,M772
V18,6,598-ME_R2,266,M825
V18,2,598-M14_R1,827,M711
V18,3,598-M7_R1,420,M77
V18,4,598-ME_R1,510,M540
V18,1,598-M7_R2,360,M854
V18,5,598-M14_R2,489,M102
V19,1,598-M7_R2,360,M783
V19,6,598-ME_R2,266,M967
V19,4,598-ME_R1,510,M714
V19,3,598-M7_R1,420,M831
V19,5,598-M14_R2,489,M739
V19,2,598-M14_R1,827,M517
V20,6,598-ME_R2,266,M775
V20,3,598-M7_R1,420,M858
V20,1,598-M7_R2,360,M599
V20,2,598-M14_R1,827,M154
V20,4,598-ME_R1,510,M216
V20,5,598-M14_R2,489,M278
V21,3,598-M7_R1,420,M826
V21,2,598-M14_R1,827,M571
V21,6,598-ME_R2,266,M881
V21,5,598-M14_R2,489,M8
V21,1,598-M7_R2,360,M907
V21,4,598-ME_R1,510,M296
V22,2,598-M14_R1,827,M706
V22,5,598-M14_R2,489,M948
V22,3,598-M7_R1,420,M992
V22,4,598-ME_R1,510,M940
V22,6,598-ME_R2,266,M338
V22,1,598-M7_R2,360,M893
V23,5,598-M14_R2,489,M761
V23,4,598-ME_R1,510,M677
V23,2,598-M14_R1,827,M270
V23,1,598-M7_R2,360,M910
V23,3,598-M7_R1,420,M442
V23,6,598-ME_R2,266,M889
V24,4,598-ME_R1,510,M510
V24,1,598-M7_R2,360,M629
V24,5,598-M14_R2,489,M301
V24,6,598-ME_R2,266,M749
V24,2,598-M14_R1,827,M647
V24,3,598-M7_R1,420,M873
